id,9861,10021,12876,14380,15496,15697
1,5,2,2,5,6,3
2,3,3,0,5,7,8
3,3,4,5,6,7,6
4,1,2,0,6,5,5
5,2,2,0,5,4,1
6,5,3,5,6,7,6
7,1,3,3,3,2,4
8,3,4,0,5,5,8
9,0,2,3,2,1,4
10,7,5,6,9,4,10
11,2,2,2,1,0,1
12,1,1,4,4,5,1
13,5,1,4,6,1,4
14,13,6,9,8,3,9
15,5,12,3,8,7,9
16,12,7,10,5,12,9
17,4,0,0,2,2,1
18,3,4,4,8,3,6
19,1,1,1,0,1,1
20,1,1,2,3,4,1
21,1,3,2,2,2,3
22,2,3,2,0,0,3
23,8,6,2,4,6,4
24,3,3,4,3,5,2
25,3,1,3,3,6,6
26,3,2,1,1,5,1
27,5,2,2,4,5,3
28,9,4,10,8,8,8
29,2,4,4,3,3,2
30,2,0,2,2,3,2
31,7,17,10,12,9,8
32,16,9,7,21,10,22
33,15,6,9,14,9,15
34,4,2,6,3,2,2
35,5,7,2,2,1,4
36,0,0,1,2,2,1
37,3,2,2,7,3,3
38,13,3,7,8,10,7
39,6,5,2,5,3,4
40,5,4,3,1,3,3
41,4,6,2,6,5,2
42,2,0,1,4,0,3
43,8,3,5,8,9,7
44,3,7,5,4,5,5
45,2,3,1,3,6,1
46,4,5,3,6,10,6
47,0,2,2,3,1,3
48,2,0,3,2,3,4
49,1,0,4,1,1,2
50,2,2,4,3,2,4
51,18,13,7,9,8,7
52,11,13,3,8,6,11
53,19,16,9,6,11,6
54,5,9,0,12,7,7
55,10,6,5,8,7,2
56,3,7,5,4,10,11
57,7,7,1,2,2,10
58,0,6,2,4,5,2
59,12,7,5,11,4,10
60,1,2,5,2,0,1
61,4,2,2,3,4,2
62,9,2,1,6,1,2
63,2,3,0,0,1,1
64,17,8,8,6,3,5
65,1,2,1,2,1,0
66,17,18,3,8,6,7
67,5,11,7,3,4,3
68,6,3,3,0,3,1
69,6,6,4,7,1,2
70,8,5,6,3,4,6
71,5,6,5,4,3,3
72,10,6,1,2,2,3
73,15,10,4,4,4,4
74,11,5,3,3,2,2
75,6,0,2,3,2,2
76,13,11,1,3,8,4
77,4,9,3,1,4,3
78,5,5,4,5,5,4
79,19,26,9,12,8,7
80,36,20,9,24,16,26
81,0,3,0,1,2,1
82,3,2,0,2,1,2
83,13,9,2,7,10,3
84,4,9,2,3,0,2
85,7,4,2,2,3,4
86,2,3,3,1,1,5
87,7,7,1,7,3,3
88,13,5,7,6,8,7
89,3,2,4,6,7,1
90,5,3,4,4,3,1
91,27,13,9,12,6,10
92,12,2,2,3,6,5
93,14,11,3,5,3,7
94,2,1,1,5,3,5
95,8,4,2,2,3,3
96,9,19,5,5,6,5
97,10,9,3,6,7,5
98,9,5,1,2,5,3
99,2,0,3,1,1,1
100,3,4,1,1,1,4
101,28,29,17,31,21,20
102,7,4,8,10,7,11
103,17,9,15,13,13,10
104,6,2,5,18,14,11
105,1,4,6,4,2,8
106,38,26,23,24,17,18
107,6,1,2,3,7,13
108,60,62,18,33,18,20
109,14,13,9,12,6,12
110,30,20,12,13,13,8
111,12,6,4,15,12,10
112,2,5,5,2,4,8
113,73,64,20,25,20,19
114,6,6,5,3,6,11
115,220,245,46,142,149,3
