id,9861,10021,12876,14380,15496,15697
1,1,7,0,1,2,0
2,1,1,0,2,4,1
3,2,7,3,3,4,2
4,1,1,4,2,3,1
5,0,1,0,0,0,0
6,1,3,1,0,1,1
7,2,1,0,4,2,0
8,0,5,3,2,2,4
9,2,2,0,4,1,3
10,0,0,1,0,0,2
11,3,1,2,3,2,1
12,3,4,0,4,6,2
13,2,1,0,2,1,0
14,1,0,1,0,2,1
15,2,4,3,5,5,5
16,12,12,9,12,16,14
17,1,1,2,1,2,2
18,0,1,2,0,1,2
19,4,3,0,2,2,10
20,0,2,0,1,2,0
21,4,2,0,2,5,7
22,4,5,1,9,8,6
23,7,5,5,7,5,6
24,3,3,2,7,10,8
25,5,8,1,4,5,0
26,2,2,3,4,3,3
27,4,2,4,10,6,4
28,6,3,3,7,6,6
29,7,1,6,5,4,6
30,2,2,5,3,6,3
31,3,6,8,7,6,5
32,0,0,1,2,0,0
33,2,3,3,1,1,3
34,9,4,6,8,8,13
35,0,2,0,0,1,0
36,5,0,0,2,2,1
37,15,4,9,11,9,12
38,14,3,10,11,9,11
39,1,1,0,0,0,0
40,0,0,0,0,0,0
41,2,1,0,0,0,0
43,0,5,0,6,3,4
44,6,0,3,11,2,11
45,0,1,4,4,5,6
46,7,4,3,3,0,2
47,1,1,1,2,3,0
48,0,0,0,2,0,1
49,3,1,2,4,3,2
50,3,1,2,0,2,0
51,2,1,2,2,2,2
52,0,0,0,0,1,1
53,3,0,0,0,0,1
54,4,2,0,0,0,1
55,4,0,1,1,4,4
56,0,0,2,0,0,0
57,1,0,2,3,2,2
58,0,0,0,1,0,0
59,0,0,0,1,1,1
60,0,0,0,0,0,0
61,2,2,0,1,2,0
62,3,1,6,5,8,0
63,0,3,2,0,0,0
64,0,1,2,0,1,0
65,0,0,2,0,1,3
66,0,1,5,0,0,3
67,4,2,4,8,4,6
68,2,1,2,1,0,0
69,1,2,1,2,0,2
70,2,4,1,2,1,0
71,1,2,1,2,3,1
72,1,1,0,1,2,1
73,5,3,2,1,0,0
74,7,3,2,2,3,6
75,0,1,0,0,0,1
76,7,10,0,0,3,0
77,2,6,1,0,5,2
78,5,9,2,4,4,3
79,6,1,3,1,2,1
80,4,5,0,0,1,0
81,7,5,2,1,3,1
82,2,3,0,5,2,2
83,4,10,1,4,2,4
84,4,2,0,6,3,4
85,1,0,3,0,0,0
86,5,2,2,2,2,3
87,4,4,1,3,5,1
88,1,1,1,1,0,0
89,1,1,1,2,1,1
90,3,8,3,3,6,5
91,16,16,6,14,16,10
92,1,2,1,2,1,3
93,3,4,1,2,3,2
94,5,8,3,3,4,4
95,0,3,0,4,3,1
96,13,5,0,3,8,5
97,6,9,0,9,13,8
98,16,11,5,7,8,5
99,8,9,2,8,11,8
100,2,5,2,3,3,1
101,10,5,2,5,5,1
102,4,3,3,6,4,3
103,11,10,4,6,4,7
104,15,5,5,4,3,6
105,7,3,7,3,4,2
106,8,16,6,5,5,5
107,1,3,0,2,0,0
108,3,2,2,1,0,3
109,11,1,5,7,4,8
110,1,2,0,0,2,1
111,6,0,1,2,1,2
112,33,14,6,8,7,7
113,12,10,8,13,6,7
114,0,0,0,0,0,0
115,0,0,0,0,1,0
116,1,4,2,0,1,0
118,0,7,0,7,4,4
119,10,4,4,9,7,13
120,2,2,7,1,4,4
121,15,7,3,3,0,2
122,1,4,1,1,2,1
123,3,0,0,3,0,1
124,10,7,3,4,4,2
125,3,2,1,0,2,0
126,3,4,0,3,0,3
127,0,0,0,0,1,0
128,4,2,0,0,0,2
129,4,1,0,0,0,1
130,12,6,2,2,3,3
131,5,0,0,1,0,0
132,3,3,4,3,1,2
133,1,0,0,0,0,2
134,1,2,0,0,1,3
135,2,0,0,0,0,0
136,3,4,2,2,1,0
137,3,4,7,6,2,0
138,0,1,1,1,0,0
139,0,1,2,0,0,0
140,3,4,2,1,2,4
141,0,3,0,1,2,1
142,7,3,5,3,3,1
143,5,1,2,0,2,0
144,2,3,1,2,0,1
145,6,6,1,2,1,1
146,1,1,0,1,2,0
147,1,4,0,0,3,1
148,9,3,1,0,1,2
149,16,9,5,3,5,6
150,0,1,0,0,0,1
151,28,29,17,31,21,20
152,7,4,8,10,7,11
153,17,9,15,13,13,10
154,6,2,5,18,14,11
155,1,4,6,4,2,8
156,38,26,23,24,17,18
157,6,1,2,3,7,13
158,60,62,18,33,18,20
159,14,13,9,12,6,12
160,30,20,12,13,13,8
161,12,6,4,15,12,10
162,2,5,5,2,4,8
163,73,64,20,25,20,19
164,6,6,5,3,6,11
165,220,245,46,142,149,3
