,9861,10021,12876,14380,15496,15697
1,1,1,0,0,1,1
2,3,1,1,4,4,2
3,2,0,0,1,1,2
4,1,1,4,1,1,3
5,0,0,0,0,3,4
6,0,2,0,2,1,1
7,1,0,0,0,0,2
8,2,2,2,0,3,1
9,2,1,0,2,2,3
10,0,1,0,2,5,0
11,2,1,1,3,1,0
12,0,2,0,1,3,0
13,0,2,1,1,0,0
14,1,1,0,0,2,2
15,2,2,0,3,0,0
16,1,1,1,2,3,3
17,0,0,1,1,1,1
18,0,0,0,2,4,1
19,0,0,0,4,0,3
20,0,0,0,0,0,1
21,4,1,1,2,2,2
22,0,0,3,2,2,1
23,4,3,0,2,1,4
24,0,2,0,4,2,0
25,0,1,0,1,0,2
26,0,1,3,0,0,2
27,0,0,0,0,1,1
28,0,1,0,0,0,4
29,0,1,0,1,1,0
30,0,0,0,0,1,0
31,2,0,0,1,0,1
32,2,2,2,4,1,5
33,0,2,2,2,2,1
34,0,1,1,0,1,2
35,1,1,3,1,0,0
36,0,1,0,0,0,0
37,4,0,1,2,0,1
38,2,0,0,0,0,0
39,0,0,1,0,0,0
40,1,0,1,1,2,1
41,0,0,1,1,0,0
42,0,0,0,0,1,0
43,1,0,0,1,1,1
44,0,1,4,2,0,1
45,2,0,0,1,0,1
46,2,0,0,0,1,1
47,1,0,0,2,1,2
48,0,0,0,0,0,0
49,2,3,1,3,2,1
50,2,0,0,0,0,0
51,4,1,0,3,2,1
52,2,0,2,2,1,1
53,0,1,3,0,0,0
54,1,0,0,1,0,2
55,0,0,0,0,0,1
56,2,1,0,1,1,1
57,3,1,3,3,0,3
58,0,1,0,0,1,1
59,2,3,0,0,0,3
60,0,0,1,0,0,0
61,1,2,1,0,1,1
62,2,1,0,0,0,0
63,0,1,0,0,1,1
64,1,4,2,3,2,1
65,0,0,0,0,0,0
66,0,0,0,1,0,0
67,0,0,1,1,0,0
68,0,2,1,0,1,1
69,2,3,1,1,1,3
70,2,1,3,1,6,2
71,4,2,3,2,0,3
72,0,1,3,2,1,3
73,0,0,0,1,1,0
74,2,0,0,0,0,1
75,0,0,0,1,0,2
76,0,0,0,0,2,0
77,0,0,2,0,0,0
78,0,0,2,0,0,1
79,1,1,1,0,0,1
80,0,0,0,4,1,0
81,1,1,1,1,2,0
82,0,1,1,0,1,1
83,0,0,2,0,0,1
84,1,0,0,2,0,2
85,0,2,0,0,0,0
86,3,1,1,0,1,0
87,3,2,0,3,2,3
88,0,0,0,0,0,0
89,1,1,0,1,1,1
90,1,2,1,0,0,0
91,0,0,1,0,0,0
92,0,0,0,1,1,2
93,3,1,3,0,2,0
94,0,0,0,3,0,0
95,0,1,1,1,1,0
96,0,0,1,1,2,2
97,0,0,2,1,1,1
98,0,0,0,1,2,3
99,2,0,0,2,1,1
100,2,0,1,1,2,1
101,1,1,0,0,1,0
102,2,1,0,0,0,0
103,0,0,0,1,2,1
104,0,1,1,2,2,0
105,0,1,0,0,1,0
106,5,1,0,0,1,2
107,1,0,1,4,1,0
108,1,1,2,1,1,2
109,1,1,0,1,2,1
110,2,1,1,1,0,1
111,0,1,1,0,1,1
112,1,0,2,1,1,0
113,0,0,1,0,0,0
114,2,2,4,1,3,0
115,1,1,1,2,2,1
116,4,6,3,7,2,4
117,0,3,2,2,1,2
118,0,5,0,0,1,0
119,4,4,0,8,3,5
120,3,0,1,4,0,7
121,3,1,4,3,3,3
122,2,2,3,5,4,4
123,3,2,2,4,4,5
124,1,0,2,3,3,4
125,1,2,1,2,1,1
126,2,1,0,1,2,1
127,0,1,0,0,2,0
128,0,1,0,0,1,0
129,0,0,0,0,0,1
130,3,1,2,2,1,0
131,0,1,1,0,0,1
132,1,0,1,1,0,1
133,7,2,2,3,2,3
134,2,1,2,3,4,1
135,0,0,3,4,3,2
136,1,0,0,2,0,1
137,0,3,0,1,1,0
138,0,1,0,0,2,1
139,1,1,1,0,0,1
140,4,3,1,0,1,2
141,0,0,0,2,0,3
142,0,0,2,0,2,0
143,0,0,0,1,0,0
144,0,0,0,2,0,1
145,0,0,1,2,1,0
146,2,0,2,1,4,2
147,1,1,0,2,1,2
148,1,0,2,2,1,3
149,5,0,2,2,1,2
150,5,2,2,2,1,0
151,2,1,2,4,3,3
152,3,1,3,2,2,2
153,4,1,0,2,4,3
154,2,2,0,4,1,0
155,0,1,0,0,1,3
156,3,0,1,1,0,3
157,2,4,2,0,1,1
158,4,0,0,0,0,0
159,1,0,1,0,1,1
160,0,0,0,0,0,0
161,0,4,1,1,2,0
162,1,1,1,0,0,1
163,1,0,0,3,1,0
164,1,1,0,1,1,0
165,1,0,0,1,0,0
166,0,0,0,0,0,2
167,0,0,0,1,3,3
168,0,3,1,1,2,0
169,1,2,2,2,3,3
170,2,1,1,1,1,2
171,1,0,0,0,0,0
172,1,2,0,1,1,1
173,2,1,0,0,0,0
174,0,1,1,1,0,2
175,4,0,1,2,1,0
176,0,0,0,0,0,0
177,3,2,2,0,2,2
178,3,1,0,0,5,2
179,0,2,0,0,1,0
180,0,3,0,5,1,1
181,0,0,1,1,0,1
182,0,2,1,1,0,1
183,0,0,1,1,1,1
184,1,0,2,0,1,1
185,0,0,1,0,1,0
186,1,0,1,0,1,2
187,1,0,1,1,2,2
188,0,1,0,2,0,0
189,0,0,1,1,4,1
190,0,0,2,2,0,0
191,1,0,2,0,1,1
192,0,1,0,0,0,1
193,0,1,1,1,1,0
194,0,0,1,0,0,0
195,0,0,1,0,1,2
196,2,0,0,1,0,1
197,1,1,0,3,1,1
198,1,2,1,1,0,0
199,0,0,1,0,2,0
200,0,1,2,2,2,0
201,7,2,0,1,3,2
202,2,3,4,4,2,1
203,1,1,0,1,2,2
204,5,4,0,0,1,2
205,4,4,2,2,1,3
206,2,2,1,4,2,4
207,2,1,0,1,0,2
208,3,0,0,1,1,0
209,5,3,5,0,5,1
210,0,1,0,0,1,0
211,4,3,1,3,1,0
212,0,4,0,4,9,1
213,1,3,0,1,3,4
214,0,1,3,1,0,2
215,1,3,0,8,5,1
216,2,2,4,1,0,1
217,1,0,0,0,0,1
218,0,2,0,2,1,1
219,6,4,3,3,3,1
220,0,0,2,0,2,2
221,0,1,0,1,0,2
222,5,2,0,3,1,3
223,0,4,0,3,2,0
224,2,1,1,0,0,1
225,0,1,2,1,0,1
226,0,1,0,0,1,4
227,2,2,1,0,2,2
228,0,1,0,0,1,3
229,0,0,0,1,1,0
230,0,4,0,1,1,1
231,8,1,2,5,3,4
232,3,1,1,1,0,5
233,3,3,2,1,0,4
234,2,3,3,2,1,1
235,0,0,3,1,0,0
236,1,2,0,0,1,0
237,2,0,0,3,2,0
238,2,0,1,1,0,0
239,0,0,1,0,0,0
240,0,1,0,0,0,0
241,0,0,0,0,0,0
242,4,1,1,1,2,1
243,0,0,0,1,0,0
244,0,0,1,1,0,1
245,2,0,0,0,0,0
246,6,2,0,3,1,2
247,0,1,2,0,0,0
248,2,0,1,2,0,1
249,0,0,1,0,1,1
250,2,4,2,0,0,2
251,0,2,0,1,0,0
252,2,1,0,0,1,0
253,4,1,2,1,1,0
254,2,1,0,4,1,1
255,7,3,2,2,1,1
256,3,2,3,3,1,2
257,0,2,0,0,0,0
258,0,0,1,0,1,0
259,4,2,1,0,1,2
260,3,6,0,0,3,1
261,2,1,1,0,1,0
262,0,0,1,0,1,0
263,2,1,0,0,0,0
264,2,2,0,0,0,2
265,1,0,0,1,0,0
266,1,1,0,0,0,0
267,0,2,1,0,0,0
268,3,3,2,3,1,1
269,2,1,0,2,0,2
270,0,2,0,0,0,0
271,12,10,2,5,5,4
272,1,2,0,4,1,2
273,0,2,2,0,1,1
274,1,4,2,0,1,0
275,3,0,0,0,0,0
276,3,1,0,0,0,0
277,0,0,0,2,1,1
278,4,2,1,1,0,0
279,1,1,0,0,1,0
280,2,2,3,0,0,1
281,0,2,0,2,0,1
282,3,2,1,1,0,1
283,1,0,1,1,0,0
284,0,2,3,2,0,0
285,1,0,0,1,2,0
286,0,0,1,0,2,3
287,4,2,4,1,1,1
288,0,0,1,2,1,0
289,1,2,0,1,0,2
290,6,3,1,0,1,0
291,3,3,0,1,2,3
292,1,1,0,2,0,0
293,3,3,1,0,0,0
294,1,3,1,1,1,1
295,4,0,1,1,0,0
296,4,1,1,0,1,0
297,2,0,0,1,1,3
298,1,0,1,0,1,0
299,2,0,0,2,0,0
300,1,2,0,1,1,0
301,1,0,0,0,0,1
302,0,2,1,1,1,1
303,3,0,0,1,3,1
304,3,3,0,1,2,1
305,3,1,1,0,2,2
306,4,4,0,0,0,0
307,0,1,0,0,0,0
308,0,2,0,2,3,1
309,1,0,0,0,1,0
310,2,2,0,0,2,2
311,3,2,0,5,2,2
312,2,3,2,1,1,2
313,1,3,1,0,3,0
314,0,0,0,0,0,0
315,0,0,0,0,0,2
316,2,1,0,1,0,0
317,1,0,1,0,1,1
318,0,0,0,0,0,0
319,5,3,4,1,0,0
320,2,2,1,2,2,1
321,9,8,3,5,5,3
322,0,3,1,2,1,1
323,2,2,0,1,1,2
324,1,9,0,0,1,0
325,10,3,0,8,2,12
326,7,6,0,4,4,3
327,1,0,1,1,0,2
328,10,9,0,6,3,4
329,3,1,1,2,0,3
330,6,4,5,3,2,4
331,6,3,4,4,4,1
332,1,0,0,1,0,1
333,0,0,0,0,1,0
334,1,1,0,0,1,0
335,1,0,0,0,0,1
336,1,0,0,0,0,1
337,0,1,1,2,1,1
338,6,1,1,5,1,5
339,8,2,3,1,2,3
340,0,0,0,4,0,1
341,6,4,1,5,5,1
342,1,0,1,1,2,2
343,7,1,0,1,2,0
344,0,1,0,0,0,1
345,1,4,1,1,0,1
346,2,1,0,1,0,0
347,2,4,0,1,1,0
348,3,1,0,2,1,2
349,1,2,0,0,0,1
350,4,2,0,2,0,4
351,0,0,3,0,2,0
352,0,0,1,1,1,1
353,0,1,1,0,0,0
354,0,4,0,0,1,1
355,4,0,2,1,1,1
356,0,0,0,1,1,0
357,1,1,0,2,1,0
358,1,1,0,2,1,2
359,2,1,0,1,2,1
360,4,3,1,1,2,0
361,3,0,3,2,2,3
362,1,1,1,0,1,1
363,1,2,1,0,2,1
364,3,1,1,2,1,0
365,1,2,2,2,1,0
366,2,2,0,1,1,1
367,3,2,3,1,4,1
368,10,5,2,1,1,0
369,2,1,0,0,1,3
370,9,5,1,3,2,2
371,2,1,1,2,1,0
372,2,3,0,0,0,0
373,1,2,0,2,0,0
374,5,3,0,0,1,2
375,1,0,0,0,0,1
376,1,1,1,1,3,3
377,5,4,1,1,2,2
378,3,0,1,1,1,1
379,2,13,5,4,3,3
380,3,2,0,0,1,0
381,2,3,1,1,0,0
382,8,3,0,1,3,3
383,0,3,0,0,0,0
384,4,1,3,0,1,2
385,0,0,0,0,0,1
386,0,5,0,3,0,0
387,1,1,1,0,2,1
388,7,1,0,0,1,0
389,1,1,2,1,1,1
390,4,2,1,2,2,3
391,0,0,1,2,2,0
392,1,0,3,0,1,1
393,2,0,0,1,0,0
394,0,0,1,0,0,0
395,0,2,0,0,0,1
396,0,0,1,0,0,1
397,1,3,0,3,1,1
398,3,8,1,3,2,1
399,1,0,0,0,1,1
400,3,1,2,1,2,1
