id,9861,10021,12876,14380,15496,15697
1,8,9,4,14,9,12
2,2,0,0,0,0,0
3,0,1,0,0,1,0
4,9,11,2,10,7,5
5,0,4,1,3,2,6
6,1,4,0,1,0,5
7,2,0,0,1,1,0
8,15,10,4,7,3,6
9,12,5,2,3,1,1
10,6,3,1,0,2,0
11,0,0,1,0,0,2
12,1,0,1,0,0,2
13,0,1,0,1,2,0
14,5,3,2,5,2,5
15,1,0,1,2,1,0
16,0,2,0,0,0,1
17,0,2,0,0,0,0
18,5,3,0,0,3,4
19,1,0,0,0,0,2
20,0,1,0,0,0,1
21,0,0,0,0,1,1
22,0,2,2,0,2,0
23,0,0,0,0,0,0
24,0,2,1,0,1,1
25,6,1,1,2,2,3
26,0,0,1,1,5,0
27,2,1,2,3,2,0
28,3,0,2,2,0,0
29,1,1,0,0,1,0
30,0,0,1,0,0,1
31,1,0,3,1,1,0
32,3,1,1,2,0,1
33,0,1,1,0,0,1
34,1,0,0,1,0,0
35,2,3,0,1,0,0
36,0,3,0,0,0,3
37,0,1,1,1,2,0
38,3,4,3,0,2,2
39,3,2,0,1,1,1
40,2,4,0,4,1,2
41,2,7,0,0,0,0
42,1,0,2,1,0,3
43,2,0,1,0,0,0
44,3,2,1,1,1,1
45,0,1,2,1,1,0
46,2,1,0,0,0,0
47,0,2,1,0,2,0
48,0,1,3,0,1,1
49,1,0,1,1,0,1
50,0,1,1,0,0,2
51,6,8,5,4,2,6
52,3,3,1,0,2,0
53,2,1,1,0,0,0
54,4,2,2,2,1,2
55,5,2,0,2,1,1
56,4,0,1,1,0,0
57,1,1,0,1,2,2
58,4,2,5,2,4,4
59,0,0,0,4,1,0
60,2,1,0,0,0,0
61,1,3,1,1,0,1
62,2,0,1,1,1,1
63,5,1,3,2,0,4
64,0,1,0,0,0,1
65,1,1,2,2,3,1
66,2,0,0,0,1,0
67,0,1,1,0,0,1
68,5,2,1,1,2,3
69,6,3,0,1,4,2
70,3,2,3,2,1,2
71,3,4,0,2,1,1
72,2,4,0,0,0,0
73,4,0,0,2,0,2
74,6,2,0,1,1,1
75,1,0,1,1,0,0
76,4,2,1,0,3,1
77,3,0,1,1,2,4
78,2,4,0,1,1,0
79,1,0,0,0,1,0
80,0,0,0,0,0,0
81,2,4,0,1,0,0
82,0,1,1,0,1,1
83,1,0,1,0,1,1
84,5,0,0,0,0,1
85,0,3,0,0,1,0
86,4,1,0,2,1,3
87,1,4,0,2,1,0
88,3,6,0,1,2,0
89,5,1,0,0,0,0
90,0,11,0,0,2,0
91,3,4,2,6,4,2
92,1,1,0,1,0,0
93,14,9,8,7,5,6
94,1,2,1,2,2,1
95,0,0,0,0,1,0
96,5,3,1,2,2,2
97,0,5,0,0,1,1
98,0,0,0,1,1,1
99,2,0,1,1,3,1
100,3,1,2,1,1,1
101,0,0,0,0,0,0
102,0,0,1,0,0,0
103,1,0,0,1,0,1
104,1,2,0,0,0,0
105,0,0,0,1,0,0
106,2,1,1,0,1,3
107,5,1,0,2,1,2
108,1,0,0,1,1,1
109,4,0,0,1,4,1
110,0,2,0,1,1,1
111,2,4,0,2,0,1
112,0,0,0,0,0,0
113,0,1,0,1,1,0
114,1,2,0,0,0,0
115,0,0,2,0,0,0
116,2,0,0,1,1,0
117,2,4,1,4,0,0
118,4,1,2,3,1,1
119,0,0,1,2,0,0
120,0,0,0,1,0,0
121,0,1,2,1,0,0
122,20,8,3,11,6,13
123,1,0,0,0,1,2
124,2,1,1,1,1,0
125,5,2,2,3,2,6
126,2,2,0,0,2,1
127,3,0,1,1,1,0
128,6,1,0,0,2,1
129,5,3,0,0,0,0
130,4,2,1,2,1,1
131,6,1,4,4,2,6
132,1,0,3,2,3,0
133,12,5,4,4,3,4
134,24,12,2,7,3,5
135,10,8,3,4,2,7
136,6,4,2,4,3,1
137,4,2,0,4,2,1
138,6,4,3,0,4,1
139,9,4,2,0,1,2
140,2,1,3,1,0,1
141,0,0,0,0,1,0
142,0,1,1,2,1,0
143,5,9,2,3,1,1
144,4,1,1,1,0,0
145,5,0,0,3,1,0
146,0,1,1,0,2,1
147,0,0,0,0,0,0
